sdg	concept	document	dois
SDG10: Reduced inequalities	Foreign Corporate Presence	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	General Agreement On Trade In Service	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Human Capital Enhancement	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Organisation For Economic Cooperation And Development Country	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Organisation For Economic Cooperation And Development Declaration	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Organisation For Economic Cooperation And Development International Direct Investment	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Organisation For Economic Cooperation And Development Guideline	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Organisation For Economic Cooperation And Development Foreign Direct Investment	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Organisation For Economic Cooperation And Development Development	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Host-country Authority	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Organisation For Economic Cooperation And Development Development Centre Technical Paper	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	MNE Affiliate	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Host Economy	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	International Confederation Of Free Trade Union	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Foreign Direct Investment	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Foreign Direct Investment Stock	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Host-country Business	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Human Resource Development Fund	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Total World Foreign Direct Investment	Foreign Direct Investment for Development	10.1787/9789264199286-en
SDG10: Reduced inequalities	Growth Incidence Curve	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Non-income Dimension	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	OECD Development Centre Working Paper	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Pro-poor Growth	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Operationalizing Pro-Poor Growth	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Composite Welfare	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	David Roland-Holst	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Average Income Growth	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Absolute Sense	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Vaccination Rate	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Welfare Index	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Policy Issue Research	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Income Growth Rate	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Absolute Improvement	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Par Jean-Claude Berth	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Non-income Poverty	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Relative Definition	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Educational Growth	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Absolute Change	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Absolute Definition	Economic Growth and Poverty Reduction	10.1787/017028157830
SDG10: Reduced inequalities	Inclusive Growth OECD	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	OECD Economic Policy Paper	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Intermediated Credit	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Stock Market Financing	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Implicit Bank Debt Guarantee	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Financial Sector Wage	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	TBTF Bank	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Financial Sector Employee	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Stock Market Capitalisation	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Sector Wage Premium	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Bank Global Financial Development Database	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	World Bank Global Financial Development	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Large Stock Market	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Decile Fourth Decile	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Credit Intermediation	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Great Income Inequality	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Financial Expansion	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	United States Japan United Kingdom	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	OECD Secretariat Calculation	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	OECD Structural Analysis Database	Finance and Inclusive Growth	10.1787/5js06pbhf28s-en
SDG10: Reduced inequalities	Racial Discrimination	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	National Action Plan	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Related Intolerance	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Durban Review	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	National Undertaking	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Special Rapporteur	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Durban Declaration	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Joint Action Plan	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	African Descent	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Action Plan	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Contemporary Form	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Inter-agency Policy	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Vienna Declaration	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Poor Literacy Skill	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Action Orientation	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	United Nations Decade	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Intergovernmental Working Group	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Universal Periodic Review	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Effective Incorporation	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Public Document	Developing national action plans against racial discrimination	10.18356_2d6cbf5c-en
SDG10: Reduced inequalities	Unequal Chance	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Immigrant OECD	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	The Integration Of The European Second	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Labour Market Integration	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	White Majority	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Fair Employment Practice	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Fair Employment	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Picot	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Ethnic Minority	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Affirmative Action Programme	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Affirmative Action	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Cross-national Variation	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Main Determinant	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Majority Group	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Empty Shell	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	non-European Origin	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	International Migration Paper	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Labour Market Outcome	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	College Attendance	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Equal Opportunity	Equal Opportunities?	10.1787/9789264086395-5-en
SDG10: Reduced inequalities	Labour Market Discrimination	OECD Employment Outlook 2008	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Gender Employment Gap	OECD Employment Outlook 2009	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Cross National Equivalent File	OECD Employment Outlook 2010	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Employment Tribunal	OECD Employment Outlook 2011	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Equal Employment Opportunity Commission	OECD Employment Outlook 2012	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Gender Wage Gap	OECD Employment Outlook 2013	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Mental Health Distress	OECD Employment Outlook 2014	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Equality Body	OECD Employment Outlook 2015	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Anti-discrimination Law	OECD Employment Outlook 2016	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Average Unemployment Benefit Replacement Rate	OECD Employment Outlook 2017	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	European Community Household Panel	OECD Employment Outlook 2018	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Convention On The Elimination Of All Form Of Discrimination Against Woman	OECD Employment Outlook 2020	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Discrimination Case	OECD Employment Outlook 2021	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Fight Labour Market Discrimination	OECD Employment Outlook 2022	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Employment Gap	OECD Employment Outlook 2023	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Title VII	OECD Employment Outlook 2024	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Taste-based Discrimination	OECD Employment Outlook 2025	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Audit Study	OECD Employment Outlook 2026	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Equal Employment Opportunity	OECD Employment Outlook 2027	10.1787/empl_outlook-2008-5-en
SDG10: Reduced inequalities	Wage Gap	OECD Employment Outlook 2028	10.1787/empl_outlook-2008-5-en
SDG11: Sustainable cities and communities	Southeast Asian City	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Dynamic ASIA OECD	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Urban Green Growth	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Southeast ASIAN	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Asian City	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Untapped Opportunity	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Case Study City	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Chicago Climate Action Plan	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Green Growth Policy	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Sustainable Material Management	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Information And Communication Technology	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Green Growth	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Chicago Climate Action Plan Workforce	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Study City	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	City Urban	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Green Building	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Green Infrastructure	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Industrial Symbiosis	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Green Roof	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Urban Resilience	Urban Green Growth in Dynamic Asia	10.1787/9789264266360-5-en
SDG11: Sustainable cities and communities	Green Public Purchasing	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Environmental Labelling Scheme	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Organisation For Economic Cooperation And Development	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Home Energy Efficiency Scheme	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Premium Loan	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Organisation For Economic Cooperation And Development Country	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Sustainable Building	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Indoor Air Pollution	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Energy Performance Advice	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Green Public Purchasing Policy	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Environmental Labelling	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Energy Audit Programme	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Engineer Wood Product	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Indoor Air Quality	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Virgin Material Tax	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Demolition Waste	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Instrument Option	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Virgin Material	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Labelling Scheme	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Organisation For Economic Cooperation And Development 2003Chapter	Environmentally Sustainable Buildings	10.1787/9789264033863-en
SDG11: Sustainable cities and communities	Global Waste Management Outlook	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Municipal Solid Waste	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Municipal Solid Waste Management	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Extend Producer Responsibility	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Resource Management Data	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Solid Waste Management Service	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Action Imperative	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Uncontrolled Disposal	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Solid Waste Management	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Sustainable Consumption And Production	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Waste Management System	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Waste Management Service	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Waste Management Goal	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Municipal Solid Waste Management System	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Management Outlook	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Solid Waste Management System	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Waste Prevention	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Solid Waste	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Data Revolution	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Hazardous Waste	Global Waste Management Outlook	10.18356_924733be-en
SDG11: Sustainable cities and communities	Organisation For Economic Cooperation And Development Journal	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Risk Reduction Education	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	General Paper	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Organisation For Economic Cooperation And Development	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Natural Hazard Risk	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Risk Awareness	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Risk Reduction Education Programme	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Reduction Education Programme	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Risk Reduction Strategy	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Disaster Risk Reduction	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Civic Sector	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Gujarat State Disaster Management Authority	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Risk Reduction Measure	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Risk Awareness Education	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Risk Reduction	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Natural Hazard	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Disaster Risk Reduction Education	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Natural Hazard Disaster	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Natural Hazard Event	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Public Risk Awareness	Stocktaking Report and Policy Recommendations on Risk Awareness and Education on Natural Catastrophes	10.1787/gen_papers-v2008-art21-en
SDG11: Sustainable cities and communities	Urban Green Growth	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Sustainable Material Management	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Urban Policy Context	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Key Policy Strategy	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Asian City	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Green Urban Infrastructure	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Low-carbon , Climate Resilient	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Chicago Climate Action Plan	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Green Growth	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Green Growth Knowledge Platform	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Urban Green Growth Policy	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Bilateral Official Development Assistance Activity	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	OECD Development Assistance Committee Creditor Reporting System	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Urban Green Infrastructure Project	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Chicago Climate Action Plan Workforce	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Green Public Procurement	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Development Assistance Committee Creditor Reporting System	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Case Study Structure	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Green Growth Action	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG11: Sustainable cities and communities	Green Growth Policy	Urban Green Growth in Dynamic Asia	10.1787/5js7svlw8m0x-en
SDG13: Climate action	Economic Commission For Latin America And The Caribbean	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Intergovernmental Panel On Climate Change	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Scale Climate	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Adaptation Cost	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	International Institute For Environment And Development	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Climate Change Risk	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
