SDG	Pub_doi	Pub_title	Pub_concept	SDG_short	Publisher
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Develop Country Report	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Island LDCs	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Rural Nonfarm Economy	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Asian LDCs Island LDCs	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Asian LDCs	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	African LDCs	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Agricultural Upgrade	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Poverty Eradication	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Development Imperative	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	UNCTAD Secretariat Calculation	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	UNCTADstat Database	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Exporter Mineral Exporter	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Myanmar Lao PDR	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Manufacture Exporter Service	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Rural-urban Migration	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Gross Domestic Product	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Sustainable Poverty	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Agricultural Labour Force	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	European Union?s	no-poverty	UN
no-poverty	10.18356/afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Exporter Service Exporter	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	United Nations High Commissioner For Refugee	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Millennium Development Goal Report	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Undernourished People	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Wealth Quintile	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Extreme Poverty Rate	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Vulnerable Employment	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Extreme Poverty	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Lower Wealth	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Reduce Food Insecurity	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Post-2015 Development Agenda	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Hunger Target	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Underweight Child	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Asia South-Eastern	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Multiple Indicator Cluster Survey	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Food Insecurity	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Underweight Prevalence	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Severe Food Insecurity	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Asylum Seeker	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Important Staple Food	no-poverty	UN
no-poverty	10.18356/d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	To-population Ratio	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Open Working Group	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Extreme Poverty Line	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	National Poverty Line	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Poverty Line	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Extreme Poverty	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Erty Line	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	End Poverty	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Poverty Number	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Sustainable Development Goal	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Relative Poverty Line	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	National Definition	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Official Poverty Line	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	SDG Target	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Bad Luck	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Post-2015 Development Agenda	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Data Revolution	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Bank Headquarter	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Global Poverty	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Global Line	no-poverty	UN
no-poverty	10.18356/0aec43e1-en	End poverty in all its forms everywhere - End poverty in all its forms everywhere	Health Care Access	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Sustainable Development Goal Report	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection Benefit	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection Programme	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Protection Benefit	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Asia South-Eastern	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	International Poverty Line	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Natural Hazard	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Extreme Form	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Sustainable Development Goal	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Extreme Poverty	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Caribbean Eastern	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Poverty Line	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	School Feeding	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Adequate Support	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Regional Estimate	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Basic Standard	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	End Poverty	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection System	no-poverty	UN
no-poverty	10.18356/a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Maternity Benefit	no-poverty	UN
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Pro-poor Development	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	World Summit On Sustainable Development	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Make Democracy Work	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	International Developmen T Researc H Centr	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	School Nutrition Programme	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Public Account Committee	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Effective Stat	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Education Minister Meeting	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Pro-poor Policy	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Commonwealth Government	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Community School	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Adult Literacy Class	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Government Development Project	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Cohesive Society	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Commonwealth Human	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Indian Prime Minister	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Severe Obstacle	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Woman's Interest	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Local Public Official	no-poverty	CW
no-poverty	10.14217/9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Weak Administrative Capacity	no-poverty	CW
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Cooperation Report	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Co-operation Report	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	End Poverty	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Cooperation	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Co-operation	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Extreme Income Poverty	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Global Minimum Standard	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Chronic Poverty	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Multilingual Summary	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Reduce Income Poverty	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	International Development Agenda	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Tracking Progress	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Global Goal	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	MDG Goal	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Fragile State	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Address Inequality	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Numerous Proposal	no-poverty	OECD
no-poverty	10.1787/dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Headline Indicator	no-poverty	OECD
