Publisher	Indic_title	indic_doi	Indic_group	SDG	SDG_secondary	SDG_tertiary
OECD	Labour force	10.1787/ef2e7159-en	Employment	decent-work-growth		
OECD	Employment by activity	10.1787/a258bb52-en	Employment	decent-work-growth		
OECD	Employment by education level	10.1787/26f676c7-en	Employment	decent-work-growth		
OECD	Employment rate by age group	10.1787/084f32c7-en	Employment	decent-work-growth		
OECD	Hours worked	10.1787/47be1c78-en	Employment	decent-work-growth		
OECD	Employment rate	10.1787/1de68a9b-en	Employment	decent-work-growth		
NCM	Production of renewable energies	10.6027/ea3bf437-en	Energy	responsible-consumption	affordable-energy	
NCM	Consumption of renewable energies	10.6027/b53e76f9-en	Energy	affordable-energy		
NCM	Energy consumption	10.6027/edeb4dda-en	Energy	affordable-energy		
OECD	Renewable energy	10.1787/aac7c3f1-en	Energy	affordable-energy		
OECD	Crude oil import prices	10.1787/9ee0e3ab-en	Energy	affordable-energy		
OECD	Nuclear power plants	10.1787/3cc1191d-en	Energy	affordable-energy		
OECD	Primary energy supply	10.1787/1b33c15a-en	Energy	affordable-energy		
OECD	Crude oil production	10.1787/4747b431-en	Energy	affordable-energy		
OECD	Electricity generation	10.1787/c6e6caa2-en	Energy	affordable-energy		
OECD	Employees by business size	10.1787/ceaf53c9-en	Entrepreneurship	decent-work-growth		
OECD	Self-employed with employees	10.1787/b7bf59b6-en	Entrepreneurship	decent-work-growth		
OECD	Starting a business	10.1787/a22da914-en	Entrepreneurship	decent-work-growth		
OECD	Self-employed without employees	10.1787/5d5d0d63-en	Entrepreneurship	decent-work-growth		
OECD	Enterprises by business size	10.1787/31d5eeaf-en	Entrepreneurship	industry-innovation-and-infrastructure	decent-work-growth	
NCM	Greenhouse gas emissions	10.6027/2881654f-en	Environment accounts	responsible-consumption	affordable-energy	climate-action
NCM	Share of biofuel use of total fuel use	10.6027/e2d06a72-en	Environment accounts	responsible-consumption	affordable-energy	climate-action
NCM	Domestic material consumption (DMC)	10.6027/1329e58b-en	Environment accounts	responsible-consumption		
NCM	Emissions of acidifying pollutants	10.6027/41efdfa1-en	Environment accounts	responsible-consumption		
NCM	Greenhouse gases from production	10.6027/e84a46a1-en	Environment accounts	climate-action		
NCM	Export of natural resources	10.6027/244cc400-en	Environment accounts	affordable-energy		
NCM	Energy intensity	10.6027/dc1922d4-en	Environment accounts	affordable-energy		
NCM	Import of natural resources	10.6027/36089226-en	Environment accounts	affordable-energy		
NCM	Domestic extraction by material category	10.6027/b55034f0-en	Environment accounts			
NCM	Consumer price index (CPI)	10.6027/f82d3c4a-en	Finance and prices			
OECD	Fish landings	10.1787/93a69a82-en	Fisheries	life-below-water		
OECD	Aquaculture production	10.1787/d00923d8-en	Fisheries	life-below-water		
NCM	Fish catches	10.6027/4125675b-en	Fisheries	life-below-water		
OECD	Fisheries support	10.1787/1ff7e544-en	Fisheries	life-below-water		
OECD	FDI flows	10.1787/99f6e393-en	Foreign direct investment (FDI)	partnerships-for-the-goals		
OECD	FDI stocks	10.1787/80eca1f9-en	Foreign direct investment (FDI)	partnerships-for-the-goals		
OECD	FDI restrictiveness	10.1787/c176b7fa-en	Foreign direct investment (FDI)	partnerships-for-the-goals		
OECD	Forest resources	10.1787/2546ca0a-en	Forest	life-on-land	climate-action	
OECD	Quarterly GDP	10.1787/b86d1fc8-en	GDP and spending			
OECD	Real GDP long-term forecast	10.1787/d927bc18-en	GDP and spending			
OECD	Investment (GFCF)	10.1787/b6793677-en	GDP and spending			
OECD	Investment by sector	10.1787/abd72f11-en	GDP and spending			
OECD	Investment by asset	10.1787/8e5d47e6-en	GDP and spending			
OECD	Gross domestic product (GDP)	10.1787/dc2f7aec-en	GDP and spending			
OECD	Domestic demand forecast	10.1787/cf2732d3-en	GDP and spending			
OECD	Investment forecast	10.1787/bc5b411d-en	GDP and spending			
OECD	Real GDP forecast	10.1787/1f84150b-en	GDP and spending			
OECD	Nominal GDP forecast	10.1787/dad11be4-en	GDP and spending			
OECD	General government financial wealth	10.1787/325ddad1-en	General government	decent-work-growth	partnerships-for-the-goals	
OECD	General government deficit	10.1787/77079edb-en	General government	decent-work-growth	partnerships-for-the-goals	
OECD	General government spending by destination	10.1787/d853db3b-en	General government	decent-work-growth		
OECD	General government revenue	10.1787/b68b04ae-en	General government	decent-work-growth		
OECD	General government debt	10.1787/a0528cc2-en	General government	decent-work-growth	partnerships-for-the-goals	
OECD	General government spending	10.1787/a31cbf4d-en	General government	decent-work-growth		
OECD	Government reserves	10.1787/1edb11ee-en	General government			
OECD	Government production costs	10.1787/44ec61e6-en	General government			
OECD	Central government spending	10.1787/83a23f1b-en	General government	decent-work-growth		
NCM	Land use	10.6027/6591a257-en	Geography	life-on-land		
OECD	Hospital discharge rates	10.1787/5880c955-en	Health care use	good-health		
OECD	Influenza vaccination rates	10.1787/e452582e-en	Health care use	good-health		
OECD	Computed tomography (CT) exams	10.1787/3c994537-en	Health care use	good-health		
OECD	Doctors' consultations	10.1787/173dcf26-en	Health care use	good-health		
OECD	Child vaccination rates	10.1787/b23c7d13-en	Health care use	good-health		
OECD	Caesarean sections	10.1787/adc3c39f-en	Health care use	good-health	gender-equality	
OECD	Length of hospital stay	10.1787/8dda6b7a-en	Health care use	good-health		
OECD	Magnetic resonance imaging (MRI) exams	10.1787/1d89353f-en	Health care use	good-health		
OECD	Magnetic resonance imaging (MRI) units	10.1787/1a72e7d1-en	Health equipment	good-health		
OECD	Hospital beds	10.1787/0191328e-en	Health equipment	good-health		
OECD	Computed tomography (CT) scanners	10.1787/bedece12-en	Health equipment	good-health		
OECD	Radiotherapy equipment	10.1787/47a5492f-en	Health equipment	good-health		
OECD	Mammography machines	10.1787/685c9c5e-en	Health equipment	good-health		
OECD	Doctors	10.1787/4355e1ec-en	Health resources	good-health		
OECD	Nursing graduates	10.1787/c54611e3-en	Health resources	good-health		
OECD	Medical graduates	10.1787/ac5bd5d3-en	Health resources	good-health		
OECD	Health spending	10.1787/8643de7e-en	Health resources	good-health	reduced-inequalities	
OECD	Pharmaceutical spending	10.1787/998febf6-en	Health resources	good-health		
NCM	Doctors and dentists	10.6027/328d3fbd-en	Health resources	good-health		
NCM	Hospital beds	10.6027/be537f32-en	Health resources	good-health		
NCM	Health care spending	10.6027/570cc4ed-en	Health resources	good-health		
OECD	Nurses	10.1787/283e64de-en	Health resources	good-health		
NCM	Alcohol consumption	10.6027/469a1560-en	Health risk	good-health		
NCM	Daily smokers	10.6027/10e02d6f-en	Health risk	good-health		
OECD	Daily smokers	10.1787/1ff488c2-en	Health risks	good-health		
OECD	Overweight or obese population	10.1787/86583552-en	Health risks	good-health		
OECD	Alcohol consumption	10.1787/e6895909-en	Health risks	good-health		
OECD	Suicide rates	10.1787/a82f3459-en	Health status	good-health		
OECD	Potential years of life lost	10.1787/193a2829-en	Health status	good-health		
OECD	Life expectancy at birth	10.1787/27e0fc9d-en	Health status	good-health		
OECD	Infant mortality rates	10.1787/83dea506-en	Health status	good-health		
OECD	Life expectancy at 65	10.1787/0e9a3f00-en	Health status	good-health		
OECD	Deaths from cancer	10.1787/8ea65c4b-en	Health status	good-health		
NCM	Life expectancy for men	10.6027/5658450d-en	Health status	good-health		
NCM	Deaths from cancer	10.6027/47a385bc-en	Health status	good-health		
NCM	Life expectancy for women	10.6027/ecc8db0d-en	Health status	good-health	gender-equality	
OECD	Household spending	10.1787/b5f46047-en	Household accounts			
OECD	Household disposable income	10.1787/dd50eddd-en	Household accounts			
OECD	Household savings forecast	10.1787/6ab4e1bd-en	Household accounts			
OECD	Household financial assets	10.1787/7519b9dc-en	Household accounts			
OECD	Household financial transactions	10.1787/cc5c6282-en	Household accounts			
OECD	Household net worth	10.1787/2cc2469a-en	Household accounts			
OECD	Household debt	10.1787/f03b6469-en	Household accounts			
OECD	Household savings	10.1787/cfc6f499-en	Household accounts			
OECD	Industrial production	10.1787/39121c55-en	Industry	industry-innovation-and-infrastructure		
OECD	Poverty rate	10.1787/0fe1315d-en	Inequality	no-poverty	reduced-inequalities	
NCM	Risk of poverty	10.6027/8daf3c37-en	Inequality	no-poverty		
OECD	Income inequality	10.1787/459aa7f1-en	Inequality	reduced-inequalities		
OECD	Poverty gap	10.1787/349eb41b-en	Inequality	reduced-inequalities	no-poverty	
NCM	Income inequality	10.6027/0569db73-en	Inequality	reduced-inequalities		
OECD	Women in politics	10.1787/edc3ff4f-en	Inequality	gender-equality		
OECD	Discriminatory family code	10.1787/7ce07d5f-en	Inequality	gender-equality		
OECD	Violence against women	10.1787/f1eb4876-en	Inequality	gender-equality		
NCM	Women in national parliament	10.6027/42687f5a-en	Inequality	gender-equality		
OECD	Social Institutions and Gender	10.1787/7b6cfcf0-en	Inequality	gender-equality	reduced-inequalities	
NCM	Internet access at home	10.6027/1f7ac3dc-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure	partnerships-for-the-goals	
NCM	Internet use	10.6027/56689c2b-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure	partnerships-for-the-goals	
NCM	Enterprises using e-Administration	10.6027/ba8234fd-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure		
NCM	Individuals using e-Administration	10.6027/4c1920fc-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure		
NCM	Mobile phone subscriptions	10.6027/f72a7271-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure	partnerships-for-the-goals	
NCM	Internet purchases	10.6027/206725e1-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure		
OECD	ICT investment	10.1787/b23ec1da-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure		
OECD	ICT goods exports	10.1787/b4d99334-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure	partnerships-for-the-goals	
OECD	Access to computers from home	10.1787/a70b8a9f-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure		
OECD	ICT employment	10.1787/0938c4a0-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure		
OECD	ICT value added	10.1787/4bc7753c-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure		
OECD	Internet access	10.1787/69c2b997-en	Information and communication technology (ICT)	industry-innovation-and-infrastructure	partnerships-for-the-goals	
OECD	Insurance spending	10.1787/adb73055-en	Insurance			
OECD	National insurance market share	10.1787/b0d48d65-en	Insurance			
OECD	Gross direct insurance premiums	10.1787/8fd6f107-en	Insurance			
OECD	Gross insurance premiums	10.1787/eeec25b0-en	Insurance			
OECD	Short-term interest rates forecast	10.1787/9446e151-en	Interest rates			
OECD	Long-term interest rates forecast	10.1787/ed0d5b2e-en	Interest rates			
OECD	Long-term interest rates	10.1787/662d712c-en	Interest rates			
OECD	Short-term interest rates	10.1787/2cc37d77-en	Interest rates			
OECD	Reading performance (PISA)	10.1787/79913c69-en	International student assessment (PISA)	quality-education		
OECD	Mathematics performance (PISA)	10.1787/04711c74-en	International student assessment (PISA)	quality-education		
OECD	Science performance (PISA)	10.1787/91952204-en	International student assessment (PISA)	quality-education		
OECD	Trade in goods and services	10.1787/0fe445d9-en	International trade	decent-work-growth	partnerships-for-the-goals	
OECD	Trade in goods	10.1787/1ea6b5ed-en	International trade	decent-work-growth	partnerships-for-the-goals	
OECD	Terms of trade	10.1787/7722246c-en	International trade	decent-work-growth	partnerships-for-the-goals	
OECD	Trade in services	10.1787/3796b5f0-en	International trade	decent-work-growth	partnerships-for-the-goals	
OECD	Exports by business size	10.1787/54d56e8b-en	International trade	decent-work-growth		
OECD	Imports by business size	10.1787/ef8f00b7-en	International trade	decent-work-growth		
NCM	Foreign trade ????????? imports	10.6027/8b9cab9c-en	International trade	decent-work-growth	partnerships-for-the-goals	
NCM	Foreign trade ????????? exports	10.6027/f5b797a7-en	International trade	decent-work-growth	partnerships-for-the-goals	
NCM	Intra-Nordic trade ????????? imports	10.6027/fb5b7472-en	International trade			
NCM	Intra-Nordic trade ????????? exports	10.6027/230ce64f-en	International trade			
OECD	Trade in goods and services forecast	10.1787/0529d9fc-en	International trade			
OECD	Current account balance forecast	10.1787/38d572e4-en	International trade			
OECD	Domestic value added in gross exports	10.1787/3959a0c6-en	International trade			
OECD	Import content of exports	10.1787/5834f58a-en	International trade			
OECD	Current account balance	10.1787/b2f74f3a-en	International trade			
NCM	Youth employment rate	10.6027/25239ae1-en	Labour market	decent-work-growth		
NCM	Employment rate	10.6027/ce4b6ff5-en	Labour market	decent-work-growth		
NCM	Part-time employment	10.6027/bf1c970d-en	Labour market	decent-work-growth		
NCM	Youth unemployment rate	10.6027/29ef01e2-en	Labour market	decent-work-growth		
NCM	Unemployment rate	10.6027/abe82fe2-en	Labour market	decent-work-growth		
OECD	Business confidence index (BCI)	10.1787/3092dc4f-en	Leading indicators			
OECD	Consumer confidence index (CCI)	10.1787/46434d78-en	Leading indicators			
OECD	Composite leading indicator (CLI)	10.1787/4a174487-en	Leading indicators			
OECD	Permanent immigrant inflows	10.1787/304546b6-en	Migration	reduced-inequalities		
OECD	Foreign-born employment	10.1787/05428726-en	Migration	reduced-inequalities		
OECD	Foreign population	10.1787/16a914e3-en	Migration	reduced-inequalities		
OECD	Foreign-born participation rates	10.1787/fa75b43e-en	Migration	reduced-inequalities		
OECD	Native-born unemployment	10.1787/0f9d8842-en	Migration	reduced-inequalities		
OECD	Foreign-born population	10.1787/5a368e1b-en	Migration	reduced-inequalities		
OECD	Foreign-born unemployment	10.1787/ba5d2ce0-en	Migration	reduced-inequalities		
OECD	Native-born participation rates	10.1787/afed6c9e-en	Migration	reduced-inequalities		
OECD	Native-born employment	10.1787/9e33a6ea-en	Migration	reduced-inequalities		
OECD	Stocks of foreign-born population in OECD countries	10.1787/b1fc67fa-en	Migration			
OECD	Broad money (M3)	10.1787/1036a2cf-en	Monetary aggregates			
OECD	Narrow money (M1)	10.1787/7a23d68b-en	Monetary aggregates			
OECD	Value added by activity	10.1787/a8b2bd2b-en	National income			
OECD	Net national income	10.1787/af9be38a-en	National income			
OECD	Net lending/borrowing by sector	10.1787/693a515e-en	National income			
OECD	Gross national income	10.1787/8a36773a-en	National income			
OECD	Saving rate	10.1787/ff2e64d4-en	National income			
OECD	Food aid	10.1787/5a3f903e-en	Official development assistance (ODA)	zero-hunger		
OECD	ODA by sector	10.1787/a5a1f674-en	Official development assistance (ODA)	reduced-inequalities		
OECD	Net ODA	10.1787/33346549-en	Official development assistance (ODA)	reduced-inequalities		
OECD	Country Programmable Aid (CPA)	10.1787/69d8099b-en	Official development assistance (ODA)	reduced-inequalities		
OECD	Distribution of net ODA	10.1787/2334182b-en	Official development assistance (ODA)	reduced-inequalities		
OECD	Net pension wealth	10.1787/c634eb4f-en	Pensions			
OECD	Net pension replacement rates	10.1787/4b03f028-en	Pensions			
OECD	Gross pension wealth	10.1787/62cdd9d3-en	Pensions			
OECD	Gross pension replacement rates	10.1787/3d1afeb1-en	Pensions			
OECD	Pension funds' assets	10.1787/d66f4f9f-en	Pensions			
OECD	Private pension assets	10.1787/e694378a-en	Pensions			
OECD	National population distribution	10.1787/7314f74f-en	Population by region	sustainable-cities		
OECD	Urban population by city size	10.1787/b4332f92-en	Population by region	sustainable-cities		
OECD	National area distribution	10.1787/34f4ec4a-en	Population by region	sustainable-cities		
OECD	Housing prices	10.1787/63008438-en	Prices	sustainable-cities		
OECD	Producer price indices (PPI)	10.1787/a24f6fa9-en	Prices	industry-innovation-and-infrastructure		
OECD	Inflation (CPI)	10.1787/eee82e6e-en	Prices			
OECD	Share prices	10.1787/6ad82f42-en	Prices			
OECD	Inflation forecast	10.1787/598f4aa4-en	Prices			
OECD	Price level indices	10.1787/c0266784-en	Prices			
NCM	Production of forest products	10.6027/8dfb8dd4-en	Primary sector	life-on-land		
NCM	"Employment in agriculture, forestry and fishery"	10.6027/3c7c3324-en	Primary sector	decent-work-growth	responsible-consumption	life-below-water
OECD	Labour productivity forecast	10.1787/cb12b189-en	Productivity			
OECD	Multifactor productivity	10.1787/a40c5025-en	Productivity	industry-innovation-and-infrastructure		
OECD	Labour compensation per hour worked	10.1787/251ec2da-en	Productivity			
OECD	Unit labour costs	10.1787/37d9d925-en	Productivity	industry-innovation-and-infrastructure		
OECD	GDP per hour worked	10.1787/1439e590-en	Productivity			
OECD	Labour productivity and utilisation	10.1787/02c02f63-en	Productivity			
NCM	PhD graduates	10.6027/954e2f76-en	Research and development (R&D)	quality-education		
OECD	Gross domestic spending on R&D	10.1787/d8b068b4-en	Research and development (R&D)	industry-innovation-and-infrastructure		
NCM	Government budget for R&D	10.6027/40c15b5d-en	Research and development (R&D)	industry-innovation-and-infrastructure		
NCM	Patents	10.6027/dd637e6a-en	Research and development (R&D)	industry-innovation-and-infrastructure		
NCM	R&D staff	10.6027/8a458648-en	Research and development (R&D)	industry-innovation-and-infrastructure		
OECD	Triadic patent families	10.1787/6a8d10f4-en	Research and development (R&D)	industry-innovation-and-infrastructure		
OECD	Government researchers	10.1787/c03b3052-en	Research and development (R&D)	industry-innovation-and-infrastructure		
OECD	Researchers	10.1787/20ddfb0f-en	Research and development (R&D)	industry-innovation-and-infrastructure		
NCM	Recipients of social assistance	10.6027/b3662566-en	Social integration	reduced-inequalities		
NCM	Pensioners	10.6027/a13c0a53-en	Social integration	reduced-inequalities		
NCM	Children in day care	10.6027/6caea1fb-en	Social integration	reduced-inequalities		
NCM	Sick leave from work	10.6027/4e02d0e3-en	Social integration	good-health		
NCM	Parental leave	10.6027/964c85b1-en	Social integration	gender-equality		
NCM	Median income per household	10.6027/f1aff010-en	Social integration	reduced-inequalities		
OECD	Family benefits public spending	10.1787/8e8b3273-en	Social protection	reduced-inequalities	no-poverty	
OECD	Social spending	10.1787/7497563b-en	Social protection	reduced-inequalities		
OECD	Public unemployment spending	10.1787/55557fd4-en	Social protection	decent-work-growth	reduced-inequalities	
OECD	Social benefits to households	10.1787/423105c6-en	Social protection	reduced-inequalities		
OECD	Pension spending	10.1787/a041f4ef-en	Social protection	reduced-inequalities		
OECD	Public spending on incapacity	10.1787/f35b71ed-en	Social protection	reduced-inequalities		
OECD	Public spending on labour markets	10.1787/911b8753-en	Social protection	reduced-inequalities		
OECD	Agricultural land	10.1787/9d1ffd68-en	Sustainable agriculture	responsible-consumption	life-on-land	
OECD	Nutrient balance	10.1787/82add6a9-en	Sustainable agriculture	responsible-consumption	good-health	
NCM	Consumption of pesticides	10.6027/c39a99a8-en	Sustainable agriculture	life-on-land		
NCM	Organic farming area	10.6027/c6b4f2cd-en	Sustainable agriculture	life-on-land	responsible-consumption	
NCM	Consumption of commercial fertilizers	10.6027/66425a45-en	Sustainable agriculture	life-on-land		
OECD	Tax revenue	10.1787/d98b8cf5-en	Tax			
OECD	Tax on property	10.1787/213673fa-en	Tax			
OECD	Tax on personal income	10.1787/94af18d7-en	Tax			
OECD	Tax on payroll	10.1787/2787e067-en	Tax			
OECD	Social security contributions	10.1787/3ebfe901-en	Tax			
OECD	Tax on corporate profits	10.1787/d30cc412-en	Tax			
OECD	Tax on goods and services	10.1787/40b85101-en	Tax			
OECD	Tax wedge	10.1787/cea9eba3-en	Tax			
OECD	Passenger transport	10.1787/463da4d1-en	Transport			
OECD	Road accidents	10.1787/2fe1b899-en	Transport			
OECD	Container transport	10.1787/26de63f3-en	Transport			
OECD	Infrastructure investment	10.1787/b06ce3ad-en	Transport	industry-innovation-and-infrastructure		
OECD	Infrastructure maintenance	10.1787/c73dc965-en	Transport	industry-innovation-and-infrastructure		
OECD	Freight transport	10.1787/708eda32-en	Transport	industry-innovation-and-infrastructure		
OECD	Passenger car registrations	10.1787/c58fcf22-en	Transport			
OECD	Long-term unemployment rate	10.1787/76471ad5-en	Unemployment	decent-work-growth		
OECD	Harmonised unemployment rate (HUR)	10.1787/52570002-en	Unemployment	decent-work-growth		
OECD	Unemployment rates by education level	10.1787/6183d527-en	Unemployment	decent-work-growth		
OECD	Youth unemployment rate	10.1787/c3634df7-en	Unemployment	decent-work-growth		
OECD	Unemployment rate	10.1787/997c8750-en	Unemployment	decent-work-growth		
OECD	Municipal waste	10.1787/89d5679a-en	Waste	climate-action	responsible-consumption	
OECD	Water withdrawals	10.1787/17729979-en	Water	clean-water		
OECD	Waste water treatment	10.1787/ef27a39d-en	Water	clean-water		
OECD	"Youth not in employment, education or training (NEET)"	10.1787/72d1033a-en	Youth and the labour market	decent-work-growth	quality-education	
